ID,name,synonyms,category,matrix_unit,matrix_amount,components[0].name,components[0].amount,components[0].unit,components[1].name,components[1].amount,components[1].unit,components[2].name,components[2].amount,components[2].unit,components[3].name,components[3].amount,components[3].unit,components[4].name,components[4].amount,components[4].unit,components[5].name,components[5].amount,components[5].unit,components[6].name,components[6].amount,components[6].unit,components[7].name,components[7].amount,components[7].unit,components[8].name,components[8].amount,components[8].unit,components[9].name,components[9].amount,components[9].unit,components[10].name,components[10].amount,components[10].unit,components[11].name,components[11].amount,components[11].unit,components[12].name,components[12].amount,components[12].unit,components[13].name,components[13].amount,components[13].unit,components[14].name,components[14].amount,components[14].unit,components[15].name,components[15].amount,components[15].unit,components[16].name,components[16].amount,components[16].unit,components[17].name,components[17].amount,components[17].unit,components[18].name,components[18].amount,components[18].unit,components[19].name,components[19].amount,components[19].unit,components[20].name,components[20].amount,components[20].unit,components[21].name,components[21].amount,components[21].unit,components[22].name,components[22].amount,components[22].unit,components[23].name,components[23].amount,components[23].unit,components[24].name,components[24].amount,components[24].unit,components[25].name,components[25].amount,components[25].unit,components[26].name,components[26].amount,components[26].unit,components[27].name,components[27].amount,components[27].unit,components[28].name,components[28].amount,components[28].unit,components[30].name,components[30].amount,components[30].unit,components[31].name,components[31].amount,components[31].unit,components[32].name,components[32].amount,components[32].unit,components[33].name,components[33].amount,components[33].unit,components[34].name,components[34].amount,components[34].unit,components[35].name,components[35].amount,components[35].unit,components[36].name,components[36].amount,components[36].unit,components[37].name,components[37].amount,components[37].unit
651,"Bratensauce, klar",,Verschiedenes/Saucen,g,100,Energie kJ,190,kJ,Energie kcal,45,kcal,Protein,1.5,g,Alkohol,0,g,Wasser,90.6,g,Kohlenhydrate,4,g,Stärke,2,g,Zucker,1.5,g,Ballaststoffe,0.5,g,Fett,3,g,Cholesterin,0,mg,Einfache ungesättigte Fettsäuren,1.3,g,Gesättigte Fettsäuren,0.5,g,Mehrfach ungesättigte Fettsäuren,0.3,g,Vitamin A,1,retinol equivalent,all-trans retinol equivalents,1,retinol equivalent,beta-carotene activity,0,beta-carotene equivalent,beta-carotene,0,µg,Vitamin B1,0.02,mg,Vitamin B2,0.04,mg,Vitamin B6,0.02,mg,Vitamin B12,0,µg,Niacin,0.58,mg,Folat,3,µg,Pantothensäure,0.08,mg,Vitamin C,1.7,mg,Vitamin D,0,µg,Vitamin E,0.14,alpha-tocopherol equivalent,Natrium,900,mg,Kalium,95,mg,Chlorid,610,mg,Kalzium,18,mg,Magnesium,8,mg,Phosphor,40,mg,Eisen,0.6,mg,Jodid,3,µg,Zink,0.8,mg
705,Bresaola,,Fleisch- und Wurstwaren/Rohwurstware,g,100,Energie kJ,710,kJ,Energie kcal,170,kcal,Protein,32.4,g,Alkohol,0,g,Wasser,58.2,g,Kohlenhydrate,0,g,Stärke,0,g,Zucker,0,g,Ballaststoffe,0,g,Fett,4,g,Cholesterin,65,mg,Einfache ungesättigte Fettsäuren,1.9,g,Gesättigte Fettsäuren,1.6,g,Mehrfach ungesättigte Fettsäuren,0.2,g,Vitamin A,0,retinol equivalent,all-trans retinol equivalents,0,retinol equivalent,beta-carotene activity,0,beta-carotene equivalent,beta-carotene,0,µg,Vitamin B1,0.12,mg,Vitamin B2,0.6,mg,Vitamin B6,0.53,mg,Vitamin B12,0,µg,Niacin,0,mg,Folat,19,µg,Pantothensäure,0,mg,Vitamin C,0,mg,Vitamin D,0.4,µg,Vitamin E,0.12,alpha-tocopherol equivalent,Natrium,2730,mg,Kalium,320,mg,Chlorid,0,mg,Kalzium,35,mg,Magnesium,0,mg,Phosphor,140,mg,Eisen,7.1,mg,Jodid,0,µg,Zink,4.1,mg
10051,"Brie, halbfett",,Milch und Milchprodukte/Weichkäse,g,100,Energie kJ,840,kJ,Energie kcal,200,kcal,Protein,24,g,Alkohol,0,g,Wasser,59,g,Kohlenhydrate,0,g,Stärke,0,g,Zucker,0,g,Ballaststoffe,0,g,Fett,12,g,Cholesterin,35,mg,Einfache ungesättigte Fettsäuren,2.7,g,Gesättigte Fettsäuren,6.9,g,Mehrfach ungesättigte Fettsäuren,0.5,g,Vitamin A,,,all-trans retinol equivalents,,,beta-carotene activity,,,beta-carotene,,,Vitamin B1,0.02,mg,Vitamin B2,0.26,mg,Vitamin B6,0.16,mg,Vitamin B12,2.1,µg,Niacin,1.4,mg,Folat,75,µg,Pantothensäure,0.79,mg,Vitamin C,0,mg,Vitamin D,0.2,µg,Vitamin E,0.29,alpha-tocopherol equivalent,Natrium,740,mg,Kalium,140,mg,Chlorid,0,mg,Kalzium,660,mg,Magnesium,26,mg,Phosphor,430,mg,Eisen,0.2,mg,Jodid,23,µg,Zink,2.8,mg
616,"Brie, Rahm",,Milch und Milchprodukte/Weichkäse,g,100,Energie kJ,1390,kJ,Energie kcal,335,kcal,Protein,16,g,Alkohol,0,g,Wasser,48.5,g,Kohlenhydrate,0,g,Stärke,0,g,Zucker,0,g,Ballaststoffe,0,g,Fett,30,g,Cholesterin,90,mg,Einfache ungesättigte Fettsäuren,7,g,Gesättigte Fettsäuren,18,g,Mehrfach ungesättigte Fettsäuren,1.4,g,Vitamin A,293,retinol equivalent,all-trans retinol equivalents,280,retinol equivalent,beta-carotene activity,150,beta-carotene equivalent,beta-carotene,150,µg,Vitamin B1,0.02,mg,Vitamin B2,0.24,mg,Vitamin B6,0.13,mg,Vitamin B12,1.7,µg,Niacin,1.1,mg,Folat,61,µg,Pantothensäure,0.65,mg,Vitamin C,0,mg,Vitamin D,0.6,µg,Vitamin E,0.78,alpha-tocopherol equivalent,Natrium,560,mg,Kalium,120,mg,Chlorid,0,mg,Kalzium,500,mg,Magnesium,20,mg,Phosphor,340,mg,Eisen,0.2,mg,Jodid,20,µg,Zink,2.3,mg
613,"Brie, vollfett",,Milch und Milchprodukte/Weichkäse,g,100,Energie kJ,1250,kJ,Energie kcal,300,kcal,Protein,21.8,g,Alkohol,0,g,Wasser,51.4,g,Kohlenhydrate,0,g,Stärke,0,g,Zucker,0,g,Ballaststoffe,0,g,Fett,24,g,Cholesterin,71,mg,Einfache ungesättigte Fettsäuren,5.5,g,Gesättigte Fettsäuren,14.1,g,Mehrfach ungesättigte Fettsäuren,1.1,g,Vitamin A,255,retinol equivalent,all-trans retinol equivalents,244,retinol equivalent,beta-carotene activity,130,beta-carotene equivalent,beta-carotene,130,µg,Vitamin B1,0.02,mg,Vitamin B2,0.25,mg,Vitamin B6,0.14,mg,Vitamin B12,1.8,µg,Niacin,1.2,mg,Folat,65,µg,Pantothensäure,0.69,mg,Vitamin C,0,mg,Vitamin D,0.5,µg,Vitamin E,0.61,alpha-tocopherol equivalent,Natrium,510,mg,Kalium,84,mg,Chlorid,980,mg,Kalzium,420,mg,Magnesium,19,mg,Phosphor,300,mg,Eisen,0.1,mg,Jodid,8.3,µg,Zink,2.5,mg
1005,"Broccoli, gedämpft (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),g,100,Energie kJ,130,kJ,Energie kcal,30,kcal,Protein,2.9,g,Alkohol,0,g,Wasser,91.1,g,Kohlenhydrate,2,g,Stärke,0.1,g,Zucker,2.2,g,Ballaststoffe,2.9,g,Fett,0,g,Cholesterin,0,mg,Einfache ungesättigte Fettsäuren,0.1,g,Gesättigte Fettsäuren,0.1,g,Mehrfach ungesättigte Fettsäuren,0.2,g,Vitamin A,44,retinol equivalent,all-trans retinol equivalents,0,retinol equivalent,beta-carotene activity,529,beta-carotene equivalent,beta-carotene,476,µg,Vitamin B1,0.08,mg,Vitamin B2,0.11,mg,Vitamin B6,0.16,mg,Vitamin B12,0,µg,Niacin,0.77,mg,Folat,63,µg,Pantothensäure,0.74,mg,Vitamin C,79.3,mg,Vitamin D,0,µg,Vitamin E,0.96,alpha-tocopherol equivalent,Natrium,11,mg,Kalium,300,mg,Chlorid,71,mg,Kalzium,85,mg,Magnesium,22,mg,Phosphor,61,mg,Eisen,1.1,mg,Jodid,14,µg,Zink,0.4,mg
351,"Broccoli, roh",,Gemüse/Gemüse frisch,g,100,Energie kJ,140,kJ,Energie kcal,35,kcal,Protein,3,g,Alkohol,0,g,Wasser,90.7,g,Kohlenhydrate,2,g,Stärke,0.1,g,Zucker,2.3,g,Ballaststoffe,3,g,Fett,0,g,Cholesterin,0,mg,Einfache ungesättigte Fettsäuren,0.1,g,Gesättigte Fettsäuren,0.1,g,Mehrfach ungesättigte Fettsäuren,0.2,g,Vitamin A,46,retinol equivalent,all-trans retinol equivalents,0,retinol equivalent,beta-carotene activity,550,beta-carotene equivalent,beta-carotene,550,µg,Vitamin B1,0.1,mg,Vitamin B2,0.13,mg,Vitamin B6,0.19,mg,Vitamin B12,0,µg,Niacin,1,mg,Folat,110,µg,Pantothensäure,0.9,mg,Vitamin C,110,mg,Vitamin D,0,µg,Vitamin E,1,alpha-tocopherol equivalent,Natrium,13,mg,Kalium,370,mg,Chlorid,78,mg,Kalzium,93,mg,Magnesium,25,mg,Phosphor,67,mg,Eisen,1.4,mg,Jodid,15,µg,Zink,0.5,mg
383,"Brombeere, roh",,Früchte/Früchte frisch,g,100,Energie kJ,190,kJ,Energie kcal,45,kcal,Protein,1,g,Alkohol,0,g,Wasser,85,g,Kohlenhydrate,6,g,Stärke,0,g,Zucker,6.2,g,Ballaststoffe,6,g,Fett,0,g,Cholesterin,0,mg,Einfache ungesättigte Fettsäuren,0.2,g,Gesättigte Fettsäuren,0,g,Mehrfach ungesättigte Fettsäuren,0.2,g,Vitamin A,12,retinol equivalent,all-trans retinol equivalents,0,retinol equivalent,beta-carotene activity,144,beta-carotene equivalent,beta-carotene,110,µg,Vitamin B1,0.03,mg,Vitamin B2,0.05,mg,Vitamin B6,0.05,mg,Vitamin B12,0,µg,Niacin,0.5,mg,Folat,34,µg,Pantothensäure,0.2,mg,Vitamin C,20,mg,Vitamin D,0,µg,Vitamin E,4,alpha-tocopherol equivalent,Natrium,3,mg,Kalium,200,mg,Chlorid,20,mg,Kalzium,30,mg,Magnesium,22,mg,Phosphor,30,mg,Eisen,1,mg,Jodid,0.4,µg,Zink,0.1,mg
1594,"Brombeerkuchen, gebacken (mit Blätterteig)",Brombeerwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",g,100,Energie kJ,570,kJ,Energie kcal,135,kcal,Protein,2.8,g,Alkohol,0,g,Wasser,73,g,Kohlenhydrate,13,g,Stärke,6.9,g,Zucker,5.9,g,Ballaststoffe,4.3,g,Fett,7,g,Cholesterin,39,mg,Einfache ungesättigte Fettsäuren,1.8,g,Gesättigte Fettsäuren,3.8,g,Mehrfach ungesättigte Fettsäuren,0.6,g,Vitamin A,80,retinol equivalent,all-trans retinol equivalents,69,retinol equivalent,beta-carotene activity,124,beta-carotene equivalent,beta-carotene,91,µg,Vitamin B1,0.04,mg,Vitamin B2,0.07,mg,Vitamin B6,0.06,mg,Vitamin B12,0.31,µg,Niacin,0.56,mg,Folat,15,µg,Pantothensäure,0.25,mg,Vitamin C,10.7,mg,Vitamin D,0.2,µg,Vitamin E,2.8,alpha-tocopherol equivalent,Natrium,94,mg,Kalium,150,mg,Chlorid,150,mg,Kalzium,35,mg,Magnesium,18,mg,Phosphor,51,mg,Eisen,0.9,mg,Jodid,2.8,µg,Zink,0.3,mg
1596,"Brombeerkuchen, gebacken (mit Kuchenteig)",Brombeerwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",g,100,Energie kJ,530,kJ,Energie kcal,130,kcal,Protein,3.2,g,Alkohol,0,g,Wasser,72.4,g,Kohlenhydrate,15,g,Stärke,9.1,g,Zucker,5.9,g,Ballaststoffe,4.4,g,Fett,5,g,Cholesterin,33,mg,Einfache ungesättigte Fettsäuren,1.3,g,Gesättigte Fettsäuren,2.6,g,Mehrfach ungesättigte Fettsäuren,0.5,g,Vitamin A,58,retinol equivalent,all-trans retinol equivalents,48,retinol equivalent,beta-carotene activity,114,beta-carotene equivalent,beta-carotene,82,µg,Vitamin B1,0.04,mg,Vitamin B2,0.07,mg,Vitamin B6,0.06,mg,Vitamin B12,0.31,µg,Niacin,0.65,mg,Folat,15,µg,Pantothensäure,0.26,mg,Vitamin C,10.7,mg,Vitamin D,0.2,µg,Vitamin E,2.8,alpha-tocopherol equivalent,Natrium,100,mg,Kalium,160,mg,Chlorid,160,mg,Kalzium,36,mg,Magnesium,19,mg,Phosphor,54,mg,Eisen,1,mg,Jodid,2.8,µg,Zink,0.3,mg
